xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
T=0 | clk=0 | rst=0 | state=xx | count=x | NS=xxx | EW=xxx | enable=x | green_time=x | yellow_time=x | cyc=0 | stb=0 | we=x | adr=x | dat_i=x | dat_o=x | ack=x | update_pending=x
T=5 | clk=1 | rst=0 | state=00 | count=0 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=x | adr=x | dat_i=x | dat_o=0 | ack=0 | update_pending=0
T=10 | clk=0 | rst=0 | state=00 | count=0 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=x | adr=x | dat_i=x | dat_o=0 | ack=0 | update_pending=0
T=15 | clk=1 | rst=0 | state=00 | count=0 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=x | adr=x | dat_i=x | dat_o=0 | ack=0 | update_pending=0
T=20 | clk=0 | rst=1 | state=00 | count=0 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=1 | dat_i=15 | dat_o=0 | ack=0 | update_pending=0
T=25 | clk=1 | rst=1 | state=00 | count=1 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=1 | dat_i=15 | dat_o=0 | ack=1 | update_pending=1
T=30 | clk=0 | rst=1 | state=00 | count=1 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=1 | dat_i=15 | dat_o=0 | ack=1 | update_pending=1
T=35 | clk=1 | rst=1 | state=00 | count=2 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=40 | clk=0 | rst=1 | state=00 | count=2 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=45 | clk=1 | rst=1 | state=00 | count=3 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=2 | dat_i=5 | dat_o=0 | ack=0 | update_pending=1
T=50 | clk=0 | rst=1 | state=00 | count=3 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=2 | dat_i=5 | dat_o=0 | ack=0 | update_pending=1
T=55 | clk=1 | rst=1 | state=00 | count=4 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=2 | dat_i=5 | dat_o=0 | ack=1 | update_pending=1
T=60 | clk=0 | rst=1 | state=00 | count=4 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=1 | adr=2 | dat_i=5 | dat_o=0 | ack=1 | update_pending=1
T=65 | clk=1 | rst=1 | state=00 | count=5 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=2 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=70 | clk=0 | rst=1 | state=00 | count=5 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=2 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=75 | clk=1 | rst=1 | state=00 | count=6 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=0 | update_pending=1
T=80 | clk=0 | rst=1 | state=00 | count=6 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=0 | update_pending=1
T=85 | clk=1 | rst=1 | state=00 | count=7 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=90 | clk=0 | rst=1 | state=00 | count=7 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=0 | ack=1 | update_pending=1
T=95 | clk=1 | rst=1 | state=00 | count=8 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=1 | update_pending=1
T=100 | clk=0 | rst=1 | state=00 | count=8 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=1 | stb=1 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=1 | update_pending=1
green_time = 15
T=105 | clk=1 | rst=1 | state=00 | count=9 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=1 | update_pending=1
T=110 | clk=0 | rst=1 | state=00 | count=9 | NS=001 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=1 | update_pending=1
T=115 | clk=1 | rst=1 | state=01 | count=0 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=120 | clk=0 | rst=1 | state=01 | count=0 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=125 | clk=1 | rst=1 | state=01 | count=1 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=130 | clk=0 | rst=1 | state=01 | count=1 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=135 | clk=1 | rst=1 | state=01 | count=2 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=140 | clk=0 | rst=1 | state=01 | count=2 | NS=010 | EW=100 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=145 | clk=1 | rst=1 | state=10 | count=0 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=150 | clk=0 | rst=1 | state=10 | count=0 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=155 | clk=1 | rst=1 | state=10 | count=1 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=160 | clk=0 | rst=1 | state=10 | count=1 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=165 | clk=1 | rst=1 | state=10 | count=2 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=170 | clk=0 | rst=1 | state=10 | count=2 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=175 | clk=1 | rst=1 | state=10 | count=3 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=180 | clk=0 | rst=1 | state=10 | count=3 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=185 | clk=1 | rst=1 | state=10 | count=4 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=190 | clk=0 | rst=1 | state=10 | count=4 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=195 | clk=1 | rst=1 | state=10 | count=5 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=200 | clk=0 | rst=1 | state=10 | count=5 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=205 | clk=1 | rst=1 | state=10 | count=6 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=210 | clk=0 | rst=1 | state=10 | count=6 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=215 | clk=1 | rst=1 | state=10 | count=7 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=220 | clk=0 | rst=1 | state=10 | count=7 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
T=225 | clk=1 | rst=1 | state=10 | count=8 | NS=100 | EW=001 | enable=1 | green_time=10 | yellow_time=3 | cyc=0 | stb=0 | we=0 | adr=1 | dat_i=0 | dat_o=15 | ack=0 | update_pending=1
